ad_archive_id,advertiser,category,ad_type,image_type,has_text,days_active,human_headline_score,human_image_score,human_fit_score,ai_headline_score,ai_image_score,ai_fit_score,ai_reasoning,ai_model,collected_at
1004779182125046,The Code ,developer_tools,feed,designed-ad,true,37,,bad,,bad,good,fair,"The headline 'Your shortcut to cutting-edge Tech news' is generic newsletter-speak that could belong to any tech publication — it doesn't leverage the specific Claude Code angle that makes the body copy compelling. The image is genuinely strong: a realistic VS Code-style screenshot of an actual curated resource list with categorized sections and real course names, which is specific, credible, and directly demonstrates the product's value. Fit is only fair because the headline and image are misaligned — the image shows a highly specific Claude Code resource hub while the headline stays vague; the body copy does the heavy lifting to bridge them.",claude-sonnet-4-6,2026-06-06
1007743538605223,Cloudflare,developer_tools,feed,designed-ad,true,58,,good,,fair,good,good,"The headline is functional and specific ('4 steps' + target audience framing) but reads like a standard lead-gen ebook title — nothing truly stops the scroll. The image is well-executed: Cloudflare's brand orange gradient, the ebook mockup shown as a physical artifact, a clear CTA button, and the logo all cohesively designed — it earns a 'good' for brand coherence and composition. Fit is tight: the baked-in headline 'Simplify compliance now,' the ebook cover showing 'Four steps to help you address compliance requirements,' and the body stat about cybersecurity professionals all reinforce one clear story. hasText is true due to the large 'Simplify compliance now' headline overlay, 'Download ebook' button text, Cloudflare wordmark, and ebook cover copy all rendered in the image.",claude-sonnet-4-6,2026-06-14
1026799126350986,EaseSourcing Global,developer_tools,feed,designed-ad,true,20,,bad,,bad,fair,fair,"The headline 'WA for Quick Quote' is weak and cryptic — abbreviating WhatsApp as 'WA' is unclear, and it offers no value proposition or hook for a scrolling user. The image is a competently designed product ad with bold text overlay ('Factory-Direct Industrial Gateway Solutions'), bullet points, and lifestyle factory imagery — but it's B2B industrial hardware, not developer tools, creating a category mismatch. The fit is loose because the ad copy (headline + body) is minimal and disconnected from the rich image, and classifying industrial IoT gateways under 'developer tools' is a stretch that undermines coherence.",claude-sonnet-4-6,2026-06-14
1029875425240317,Datadog Cheatsheets,developer_tools,feed,designed-ad,true,411,,bad,,bad,good,good,"The headline 'EC2 Cheatsheet' is minimal and purely functional — it names the asset but does nothing to stop a scroll or convey value. The image is well-executed with a warm gradient background, clear 'CHEATSHEET' label, a bold title overlay, the Amazon EC2 logo, and a preview of the actual cheatsheet document — all deliberate design choices that make it a strong designed-ad. Fit is tight: the visual, body copy, and offer all tell a coherent story about a technical resource for AWS/EC2 monitoring, appropriate for the developer tools category.",claude-sonnet-4-6,2026-06-14
1042946695146312,Coralogix,developer_tools,feed,designed-ad,true,17,,fair,,fair,good,good,"The baked-in headline 'Observability built for the cloud you're actually running. Not the cloud you had three years ago' is sharper and more resonant than the declared headline 'Modern Observability for Your Cloud,' which is generic by comparison — the image copy does the real work here. The visual design is strong: dark background with colorful 3D abstract shapes, a clean typographic hierarchy, and a teal CTA button — polished and category-appropriate for a B2B developer/cloud tool. Fit is tight because the abstract, techy aesthetic and the cloud/observability messaging align well with the developer tools space, and the image copy anchors the ad's positioning effectively.",claude-sonnet-4-6,2026-06-06
1045110748002002,Amazon Web Services,developer_tools,feed,designed-ad,true,34,,good,,fair,good,good,"The headline 'Agentic AI trusted to deliver' (as baked into the image) is functional but slightly vague — 'trusted to deliver' is directionally meaningful for enterprise AI but not highly specific. The cheetah visual is a strong, distinctive choice that communicates speed, precision, and reliability without resorting to tech clichés, and the warm amber contrast against the lavender background is visually compelling. The overall composition is coherent — AWS branding, the speed/trust metaphor, and the enterprise AI positioning all pull in the same direction, making this a well-constructed if not exceptional ad. The image contains the headline text overlay and AWS logo wordmark, confirming hasText:true.",claude-sonnet-4-6,2026-06-14
1048812180813631,HMH Hospitals,developer_tools,feed,designed-ad,true,17,,bad,,bad,good,bad,"The headline 'Check Your Options Now' is generic and does none of the heavy lifting — the image does all the work with specific pricing (₦1.99M, ₦4.5M), package breakdowns, and refund guarantees baked in. The image is a well-designed dual-panel infographic for IVF and Surrogacy packages with clear pricing, feature lists, and branding — genuinely informative and category-appropriate for a fertility hospital. The fit score is bad because the ad is miscategorized as 'Developer tools' — this is clearly a healthcare/fertility services ad — and the headline completely fails to reflect the rich, specific content visible in the image.",claude-sonnet-4-6,2026-06-14
1054612203744856,Cranston AI,developer_tools,feed,designed-ad,true,24,,fair,,fair,good,good,"The headline 'AI Accounting Assistant for Accountants' is functional but redundant and forgettable — 'for Accountants' restates what 'Accounting' already implies. The image is a well-composed designed ad with a clean typographic layout, bold 'AI built for accountants' headline baked in, a clear CTA button, and a product UI screenshot showing realistic invoice data — this is far above generic stock. Fit is strong: the body copy's pain points (invoice searching, GL coding, spreadsheet exports) map directly to the product UI shown, and the accounting-specific integrations (QuickBooks, NetSuite, Xero) create tight category coherence.",claude-sonnet-4-6,2026-06-06
1070931949439110,Cloudflare,developer_tools,feed,designed-ad,true,59,,bad,,fair,good,bad,"The headline in the image says 'Modernize your network with a coffee shop SASE model' but the rated headline is 'Modernize Your Infrastructure with a Connectivity Cloud' — these are different hooks, creating immediate dissonance. The image is well-designed with Cloudflare's brand colors, illustrated UI mockup, and a webinar-specific visual that earns attention. Fit is bad because the image advertises a SASE webinar while the body copy pitches egress fees and team efficiency for a connectivity cloud product — three different stories that don't converge.",claude-sonnet-4-6,2026-06-14
1078812277794870,SentryWorld,developer_tools,feed,designed-ad,true,86,,bad,,fair,good,good,"The headline 'Secure Your Wedding Date' is functional and clear but generic — any wedding venue could use it. The image is a well-composed collage showing the couple, the reception hall, and the ceremony space with a Christmas tree, effectively conveying the venue's aesthetic and seasonal availability. The text overlay in the image reinforces the off-season/open weekend urgency angle, and the overall visual-copy story is coherent for a wedding venue retargeting ad, though the category label 'Developer tools' is clearly a mislabeling error and has no bearing on the actual ad content.",claude-sonnet-4-6,2026-06-14
